Year,Series,Group,Progress,Value
2015,Series1,A,1.0,1
2016,Series1,A,2.0,2
2017,Series1,A,3.0,3
2018,Series1,A,4.0,4
2015,Series1,B,3.0,3
2016,Series1,B,4.0,4
2017,Series1,B,5.0,5
2018,Series1,B,6.0,6
2015,Series1,C,1.0,0
2016,Series1,C,4.0,4
2017,Series1,C,0.0,0
2018,Series1,C,6.0,6
2015,Series2,A,8.0,7
2016,Series2,A,3.0,0
2017,Series2,A,4.0,9
2018,Series2,A,5.0,10
2015,Series2,B,,8
2016,Series2,B,,9
2017,Series2,B,,5
2018,Series2,B,,1
2019,Series2,B,,3
2020,Series2,B,,5
2021,Series2,B,,7
2022,Series2,B,,9
2023,Series2,B,,11
2015,Series2,C,0.0,9
2016,Series2,C,,10
2017,Series2,C,6.0,6
2018,Series2,C,7.0,8
2019,Series2,C,8.0,9
2020,Series2,C,,10
2021,Series2,C,10.0,11
2022,Series2,C,9.0,12
2023,Series2,C,12.0,13
