Year,Series,Groupe,Progress,Value
2015,Série1,A_fr,1.0,1
2016,Série1,A_fr,2.0,2
2017,Série1,A_fr,3.0,3
2018,Série1,A_fr,4.0,4
2015,Série1,B_fr,3.0,3
2016,Série1,B_fr,4.0,4
2017,Série1,B_fr,5.0,5
2018,Série1,B_fr,6.0,6
2015,Série1,C_fr,1.0,0
2016,Série1,C_fr,4.0,4
2017,Série1,C_fr,0.0,0
2018,Série1,C_fr,6.0,6
2015,Série2,A_fr,8.0,7
2016,Série2,A_fr,3.0,0
2017,Série2,A_fr,4.0,9
2018,Série2,A_fr,5.0,10
2015,Série2,B_fr,,8
2016,Série2,B_fr,,9
2017,Série2,B_fr,,5
2018,Série2,B_fr,,1
2019,Série2,B_fr,,3
2020,Série2,B_fr,,5
2021,Série2,B_fr,,7
2022,Série2,B_fr,,9
2023,Série2,B_fr,,11
2015,Série2,C_fr,0.0,9
2016,Série2,C_fr,,10
2017,Série2,C_fr,6.0,6
2018,Série2,C_fr,7.0,8
2019,Série2,C_fr,8.0,9
2020,Série2,C_fr,,10
2021,Série2,C_fr,10.0,11
2022,Série2,C_fr,9.0,12
2023,Série2,C_fr,12.0,13
